transcripts,score
"Hello, it's not a pleasure to talk to you and the most important thing is why we are here. Why cyber security matters? Cyber security is the most important topic for our company. It's one of the top. Risks, but we have in our company and it's really important to protect ourselves against the dangers out there. All the vulnerabilities be found in our environment can be misused, abused by external people, and it could be also insider threat. It's not only the outside world, it's also the inside world and my department, especially to protect team, is responsible to really protect us against all the things coming from the outside and also the things. Coming from the inside Deans over threat so it's focused on the infrastructure on the PC's, your personal devices, your mobile devices. It's focused on the servers running the applications, the services we are using every day, every time and it's focused help the application managers to solve the issues coming along with the cyber security threats. So what we are doing in our team to help the people outside. That we do awareness trainings with our consultancy topics so we have support projects from the first time it starts. If there are races are roses and then we also move on with the topics if they are going into the operations. So before it goes into operations or during the operations, we have to attest that the security measures we chosen valid and sufficient enough for organizations. So we have our own cybersecurity regulations. So we want to fulfill that regulations and so we have to. Really helped the application managers which come from the business which have not so deep it knowledge to solve that issue to heart center. Understand them to solve all these things. So it was mere pleasure to explain you both. The main purpose of my department. Thank you very much for your time.",5.0
"Hello again, let's start with the scenario you live in a timber house or own a summer house. So in the morning you walk around your house and you see traces of woods floor on the ground. So what do you do? You are surprised and look. For the reason why you have that and you find small, deep, steep or deep holes in Rd so. What you're doing next, so it's not good, so there's something like an insect and fashion, so you have to think about it, so it's pretty new, because yes, last day you walked around it so you take syringe, fill it with hot water water, and press the water in the hole so that this will kill the larvae, and finally the holes need to be closed to stop the other insects to lay more eggs into it. And that's all you need to protect sustainably. Against first damage your house, that's all, or they would thank you very much.",6.0
"As you know, I'm living in a really nice area, so in that area where I'm living though there you can do so many things. You can go hiking. You can go mountain biking, you can climb, you can. You have really good. Restaurants in this area. It's cheap. There are a lot of things we have tons of miles where you can hike. We have the possibility that you can also swim. They have really nice season, the lakes and the environment. So why you you should go to another place. So if you can stay here in Germany you can come to me and you can enjoy all the things we have here in our regions, so it's fantastic. It's wonderful, it's fantastic. The weather is good, the people are nice. Everything is what it should be and you have not to spend so much money and it's no need to travel around the globe. So that's worth it. Thank you.",8.0
"So let's talk about a really important number we shouldn't forget, so it's a really important date. It's the 9/11 2001 where the aircrafts crashed into the towers. The twin towers in the United States 911. It's really easy to remember because it's the emergency number for the US in the US to call the merge to set up an emergency call and 2001. It's pretty easy again to remember because it's the first day year. After 2000, the new Millennium, so therefore it's easy to remember that. So thanks a lot and hopefully you can remember 9/11 2001.",8.0
"Who I am. So I'm Marcus, I'm Marcus. I'm working for cyber security operations so I'm working in the field of cybersecurity. I protect the environment. I help other people to understand the deficiencies they have with their applications. They're running their they have in their environment. They need to solve the fixed emm, so really gives them the advisors, the ideas, the inspiration, the information, they help them to find this illusion to solve. Security issues to understand the post security posture they have on their clients on their servers in the infrastructure. So that's a really really. Support. And close all the holes and find the right way to solve those things. So that's me about me. So I'm studying Master of Science and studying Master of Engineering. 40 security and forensics. That's more or less me. What I do.",9.0
"Hello, what I really like in our company is that we have a really open feedback culture so everyone can talk to each other and everyone is listening honestly and respectful. You can talk to your manager. You can talk to the manager of the manager so that's pretty easy and you can talk really openly and you can talk also openly. Over the cultures, so that's really good because all the Indian people, so we respect each other each other and we are working closely together. But it's not so good in our company. Is the decision making. So this is our decision making is really a complex process, overwhelming process and too many things needs to be done. So sometimes it feels like that you do things only that we can delay the whole process, which not really helpful. So if there is no money or there is no version to implement something, why we invest the time for that? So we should stop that. So that's all from my side. Thank you very much.",7.0
"They had two. Captain Bruce of companies one. Bonds are those that have been hacked and. Those that will be. Even that is merging into one category. Those that have been hacked. And will be again. This is a quote from Robert Mueller, FBI director in 2012. That's one of the most important reasons why cybersecurity matters in all organization, and also in your private life. And my team exists, therefore, to protect you and help all others. So what I want to do that you do in your private time, is to check if your password policies are correct and talk about next time about that. How you have done that and what you have figured out. Thanks a lot for your attendance. Detention.",7.0
"Imagine you are working a long time. You're working 8 hours, 10 hours and more weeks over weeks, and then the time is coming. So holiday PTO or vacation time and everyone wants to travel, right travelling? It's the most important thing and therefore I have one question to the audience. I want to know from you where you travel, travel, you're outside the country usually or you stay in the country. So if you are staying. In the country, then do nothing, and if you go outside the country then lift your arm. Pretty easy, yeah. So usually you are traveling outside the country, so there's a really good quote from. Um, let me see what you want, Wolfgang from Kuta, he said analogously translated as a part of a poem who is usually trip. Who is usually traveling for vacation? No, that's not the right thing. So see I missed something here, so sorry for that. Do you want to wander further and further see the good is close to you. So this means why you are not thinking about it staying in your home region in your home country, because everything what you need is outside your home. It's in your region is in your maybe also in your town, so there is no need to go to them to see, because most probably you have also in your own country a seaside where you can lie on the beach and the right time of the year, right? So if the sun is shining and such things and you have a really great countryside. So it's different, so I have only to leave your home and travel only ten 2050 kilometers, and then you have great cities around you. Old cities like Bamberg or to bring in. Or you go to the castles around you so we have many many castles here in Germany. Really nice places to be visited and it's really fantastic to see the old architecture. And there's a lot of leisure opportunities you can use for yourself. So there's the possibility to carnal climb, bring hiking. We are really great hiking area with Nice Hills. We have also the item so they're high mountains, not so high mountains. OK, I know, sorry for that. And what I want that you do, and what do you think about it? Check the possibilities you have around in your area to see what is possible and think about it the next time. Why going too far away and not staying here and. Use the time here to relax and have it easier not to stress for traveling somewhere, flying around or the corona checkins and everything, so please. After that meeting, so one day later, please reply back to this one and share your ideas what you found out with all the others. Thank you very much.",8.0
"My company Siemens healthineers. Siemens Fasteners is a vendor in the medical market. We are medical solutions provider ER providing products and solutions and drag answers to our customers, hospitals and other. Doctors around the world, different practices, so this is what we are doing. So we are shaping the healthcare systems in the world and working on to provide our healthcare systems to anyone, anywhere in our affordable way. And we are a major part and contributor to the corona crisis, so we are providing their test mechanisms so that everything and everyone can be tested so that the spread out of Corona is stopped. So we are. One of the market leaders we are the market leader in many fields in the emerging field when the Magnum. It was announced topics or TCT topics, so this are very American market leaders and we are working on a new world without cancer. That's our message. So we er have everything from the beginning to the end to treat cancer we are protecting. You and your family and everyone who loves and your friends so that. They are healthy.",8.0
"We talked about the environment and the importance of the environment. On you. As an individual, so how important the environment is for you. So therefore I want that you think about that. At the afternoon. And evening more than take only 5 minutes. Not more to think about what is so important in the environment for you and what is necessary for your personal well being.",7.0
"Imagine you are a waking and you're at home. Damn, you are moving to the work. Then you're moving back to home or you're moving to another place. So all about this is in common that it's an environment, so you start today at home usually, and this is the first environment. Then you move to work. That's the second environment, and then you are going outside. This is a certain environment, so that's what that's our topic for today.",9.0
"Imagine. You have working in a company and you are starting your day, going from meeting to meeting and then the lunch break is coming. You are leaving for. For the lunch and then you come back to your workplace. And if you're back at your workplace, you are starting the browser and typing in URL. Uh, normal URL. It's a newspaper and you're reading it. And then a shocking moment. You see a Windows popping up and the render is saying you are ransomware. So what is now to do? It's a really good question, and that's one of the reasons why my team exists. Cybersecurity operations protect. There's a really good quote from Robert Mueller from 2012, as he was the director of the Federal Bureau of Investigation. So there are two types. Of companies. Those. That have been hacked. And those. That will be. But even that is merging into one and only one category, those that have been hacked. And will be again. So what this is saying? What is this telling to US? Security is really, really important and we want to start now that you think about your personal security and that what you can do in your personal work life. So you can start with the passports, thinking about where you use your passports. Are you using the same passport several times are using the same passports on different platforms so. Think about that. Change it take 5 minutes this evening and then start changing it. It's pretty easy and you can really do a lot to increase the security. Overall, thank you.",7.0
