transcripts,score
"I see operations in Chicago as two arms, 1 being facilities operations and one being client operations. I envision that the facilities lead operations team member will manage not only. Facilities eh VIT support for everyone within the Chicago office, but that also helps the team. The larger team in Chicago understand, um, you know what is needed, who is able to help and how to be the liaison between those two. Um, I think the facilities operations lead will really be responsible for everyone in the office. Um and this. Is anything or or at least in making it seem, that everyone in the office is their client? Um, and really being that trusted guide to help them? You know, with any issue troubleshooting any issues that they may have. Um, this is also. Ensuring food is properly stocked. Snack wise. Um, in the office as well as ensuring that any large meetings will have the IT Navy support that is necessary so that everything is running smoothly and there's no last minute um needs for help. Um, you know, looking for that forward thinking person to really be on top of it? I think the other arm of this is client operations and this is someone. Who works directly close closely with finance and the leadership of the of the Chicago office. They would help manage not only client burn and client teams and how they manage their accounts, but also kind of seen any repetitive patterns that they can pull out and kind of help smooth or iron out those wrinkles. That could be anything from meeting with Department's to try and understand the situation, but then also to. Um, you know, kind of relay any of those issues that you may see along to management, so they can help kind of manage down and and level set expectations for their team. But this is also someone who can help troubleshoot in the same way that the facilities operations manager can help facilitate and troubleshoot any issues.",1.0
"My. Me and my management philosophy is. Very much one that is laid back. I do not want to. I do not like micromanaging um people, I don't. I don't think I'm very good at it, nor do I, um. Like to micromanage and adults, I think we're all in a spot that we don't need to be told every day. What to do, um? I also think that I work best in situations that are more collaborative, so I appreciate um when I take an issue to my manager and we just talk about all the different solutions that are possible and the pros almost verbalizing a pro and con list, which with each um with each item that you know, um. With each item that I'm trying to troubleshoot, I like coming to the table with um. I like when people come to the table with some potential solutions and then we can kind of work through those together.",1.0
"Um, my team and Chicago my operations team I am operations is a pretty small team in Chicago, so we've got myself a senior senior operations manager and I work mostly with. Finance team as well as the client teams to help them, you know, track burn forecast appropriately, as well as helping them when their forecast is maybe a little off or their burn is a little too high. You know, I kind of help them dig into understand the whys behind it, and then maybe you know, troubleshoot some solutions that we can, um, put forward to either stop that or mitigate as much as possible. I do this with various other team members, not all in operations. Um, one of my closest counterparts is probably the finance team, Sarah O'Toole and we really do work together to understand utilization and try and find those trends of overburn or trends of under burn and really try and get to the bottom of the why behind it. I do have a counterpart, Sarah Sandra. Sandra is my right hand woman. Um, when it comes to the facility side of the house. So she really helps manage um meeting rooms. She does a lot of expenses for executive level folks, as well as just overall being the the bright and shiny person that we need in the office. Um, she really does handle quite a bit and she juggles a lot of balls. Um, she answers a lot of emails. Um, with lots of 1 off questions, which from an office of 350 there's you know one offs can kind of add up quite a bit. All of that led by my manager, Bruce Davis. Bruce is a really great resource for me. Um, he's just great to bounce ideas off of and troubleshoot together as well as helping me, um. You know, learn and grow in my career.",
"My manager, Bruce Davis, is a managing director of operations. He sits within the Kalamazoo Office and manages West not West but Midwest I guess, so he manages Kalamazoo, um, Detroit and Cincinnati. Chicago, and I believe, Minneapolis, um Bruce is a great manager. He really is just ideal when it comes to pulling reports. He's just got such a wealth of knowledge when it comes to. That sort of stuff. Um, Bruce really helps with, um. All the office leads and managing helping them understand how to manage their teams or their office is the best. He really does allow a lot of flex, um, and then he also reports into Craig Brush so any really large system wide issues, you know Bruce is really good at um at taking those in and you know appropriately reporting them back up. Um, you know any anything that we may see or that he sees from from his um. Land standpoint I guess.",
"Um high. Just wanted to sit down with you and discuss a few things that may be difficult to hear. Just try and keep an open mind, um. We've I've noticed that in the last two months there might have been some. Kind of slacking of responsibilities when it comes to deliverables, um. And I'd really like to understand why and and if there's anything that I can do to help support um, you know, if there's been some challenges, or if anyone has um made anything difficult, um, happy to help and help troubleshoot, help help. Kind of weed out the noise, um, and allows some more focus if that's what's needed. Um? You know, along with these deliverables we've I've also noticed. Um, negative attitude. A little bit less of a. You know there's there's been an attitude shift, um, and really just trying to understand if there's anything that I have done, or if there's anything you know within the team structure that's really upsetting. Um, or just not working the way that you have worked in the past? Um, because it has been in the last two months that there's been this shift. So really trying to understand what's happened in the last two months and see how I can help. Um, you know, you're a vital part of this team and I would hate to see you know this this two-month. What's been happening for two months. Extend further and you know you've always been such a great ally for this team that I would. I hate seeing that this downward swing, um.",1.0
"Alright guys, we've got this puzzle. Here's what I think we should do. I think we should break up and each person can have their own set of responsibilities. One I think we will wait. I think we need. I think we should split up two people. Um, two people find tiger pieces to people, find polar bear pieces, and the 5th person will go around and at least work on the edging and then hopefully we can just break a break it up into smaller pieces and really get at it. And we've got this. We love polar bears. We love tigers, so let's do it. And we got this.",4.0
"Hi Theo, wonderful to meet you again today and in sunny Miami. Such a difference to the weather we're enjoying in Australia right now, which is a very cold winter. How are you enjoying your summer? Oh, must be wonderful to get some time with family. Enjoy the sunshine and a bit of downtime during the summer holidays. They are really appreciate your time again today. I know that at the end of our last presentation. We're getting great feedback from your team and yourself in terms of the products and services that BNY Mellon is able to offer and how they might meet your firms needs. However, I also got the impression. That cultural fit, long term relationship and trust are a big part of the decision making within your firm, and I really wanted to have a chat with you and understand some of those aspects of your organization. And help you align to those for the commitments you need to make to your senior management.",9.0
"Theo good to see you again today. Following on from our last conversation, I wanted to recap that we've appreciated the time spent with yourself and your team to demonstrate BNY Mellon's capabilities. And our strong belief that our open and modular architecture can meet the needs. And ambitions of your organization. Both from helping you obtain. Optimization of your operating model and ability to reduce costs and transparency and access to your data to drive insights and analytics for you to achieve your strategic objectives as an organization, however. We understand it's vitally important that our two organizations also have a good cultural fit. So today I wanted to focus on BNY Mellon's. Strategic. Focus embedded across our organization on diversity and inclusion. We recognize that your firm has a strong standing in the Miami community in supporting the very diverse community in which you operate and work. Like you, BNY Mellon has the same uncompromising commitment to diversity inclusion, and I wanted to share with you an example that I think demonstrates our cultural fit. We know it's critical. The work that we're doing. For us as a business, and to be able to support our clients. We have now launched a new Dreyfus investment option in partnership with Howard University for students. At this distinguish historically black university. Which enables investors to support. Fever fee um.",7.0
"Hello, BNY Mellon supports business and clients in 35 countries all over the world. Did you know that 68% of people globally, almost seven out of 10? People have visited up to 10 countries in their lifetime. For being my melon operating in 35 countries. Gives us access to a diverse thinking and outcomes in support of our clients. Participation in the creation of the global investments of the world. That's an enormous diversity incline experience and valuable cultural market insights. To demonstrate that scale that coverage allows us to support. BNY Mellon has 45 trillion in assets under custody. That's approximately 20% of the world's assets and $1.00 in every five of the world's. Wealth trading wealth flows through BNY Mellon and we support clients participation in 110 markets.",9.0
"Mary I hear your frustration. You've spent a lot of time with us, allowing us to demonstrate BNY Mellon capabilities. And I'm hearing from you, you still can't understand. You still don't understand. And we haven't demonstrated enough to you what our differentiators are compared to your current provider. So today. I really want to let my colleague, Graham, who's an absolute expert, actually show you a hands on demonstration which you can interact with. So we can go deeper and demonstrate our capabilities of posting our corporate action results from our custody system to simcorp dimension. I'm hoping through this demonstration that it gives you the access and the insight that you need to really understand. Um, what these capabilities can bring, and the potential automation and cost saving to your organization. I appreciate we need to make it real for you. And your feedback will help us ensure that we are answering your questions and we give you enough detail. To enable your decisions.",8.0
"We know that the BNY Mellon leadership focus on our employees well-being is being well received. We know this because we're getting consistent and good feedback through our pecan surveys. One of the most consistent feedbacks we've had. Is that people appreciate easily accessible. Small efforts that allow them to participate on a regular basis. To that end, we want to recommend that in each office we should provide. Mindfulness. And meditation coaching. Once a month. Each day of the week, at the end of the month, for one hour sessions, given the flexibility we have of which days people come to the office. The power of these sessions means that anyone in any ability can participate. It's a one hour window and we find that people often feel they've been able to unclutter their minds. Through this meditation guided mindfulness sessions.",9.0
"My day and I colleagues and I believe strongly that the use of our WOW program. Drives our peoples and teams morale to a much higher level. The WOW program. Gives people recognition not only to get a timely and direct. Thank you. Recognizing and acknowledging their contribution, but also creates a record that goes to their managers. So it allows for that recognition to flow through to their PNP ratings. Especially where those colleagues are being recognized by the WOW programs for their contributions today and I. Where their managers would not have visibility necessarily to those contributions. Our pecan results show a favorable score of 16 plus above the average. In regards to people feeling recognized via the Whale program and the transparency that gives to their DNI efforts. Thank you.",9.0
"Hello, my name is Ben and I apologize for my location and noise. Today I'm reporting from a noisy Starbucks, but in talking about, um, my plan for my team. I think one of the 1st and most important places just start, especially in the industry that we're in in marketing is to start with everyone's interests and figure out what they're most passionate about and what specifically brought them to this career. And this, um, this job and this company. And figure out how we can use that to strengthen not only themselves, but the team. And the work that we do, and from there, I think setting themselves up for success, and that is of course giving them space to. Lean into the strengths, but also opportunities to grow in the in the places that they need to grow in, and the opportunity is based off of that. I guess you know in a nutshell, it's creating a space for people to create their own individual journeys and development plans for themselves, and being someone there to support them.",1.0
"Um, to put it concisely, to talk about my management philosophy, I would say that it is all centered around transparency. I think that um, especially where we find ourselves in a remote or hybrid remote working environment, um, individuals need as much information on the work in selves in order to be set-up for success. And I think that I'm all come to fruition. Transparency, what I know about them as a employee and a contributor to the team. The feedback that I'm receiving and also um, how I view and observe them, but also about the work itself. Setting them up for success with all the correct information and being as transparent as possible about expectations and KP eyes and all of that information so that they have it to apply to the work they're doing.",5.0
"My team is divided between three different groups of people based off of their craft skills. The first one would be on the social team, specifically strategy team, which really is in charge of setting the vision for the social and digital practice for the agency as well As for individual clients. The second would be, um, our publishing team, which is mainly responsible for them. Executing the work that, um, the strategy teams compare teams. I've been putting into practice and then third, but of course not least would be our engagement team, which is spending the majority of their time interacting with people in the social and digital spaces. Um, with those three, um, unique apps on printer, well-rounded group of people really focused on the social and digital practice, um, from. The strategy and vision all the way to interaction people once the work is put out into the world I think would also makes the team extremely special, is not just the craft skills that we bring to the table, but also the personal and leadership skills that are unique to every person at every different section of the discipline.",
"My direct manager is a UM, director of UM connections for the agency. In her role, UM, first and foremost, of course, is to help set the vision for our clients, but also at that level, setting the vision for the social and connections practice at the agency. Also, as a leader, um, one of the most important aspects of her role is cultivating in building a, um, extremely strong. Um culture and team relationship and helping to um disseminate important information to the teams that report into her.",
